epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1926,0,41.1136,0,0,0,0,0,0,38.7625,0,0.00012,0.00012,0.00012
2,37.8933,0,39.4863,0,0,0,0,0,0,38.6441,0,0.000257426,0.000257426,0.000257426
3,53.7587,0,37.1341,0,0,0,0,0,0,38.4862,0,0.00039208,0.00039208,0.00039208
4,69.0977,0,35.0499,0,0,0,0,0,0,38.4415,0,0.000523962,0.000523962,0.000523962
5,84.804,0,32.8968,0,0,0,0,0,0,38.0089,0,0.000653072,0.000653072,0.000653072
6,100.138,0,30.7854,0,0,0,0,0,0,37.3671,0,0.00077941,0.00077941,0.00077941
7,115.705,0,28.8244,0,0,0,0,0,0,33.775,0,0.000902976,0.000902976,0.000902976
8,131.036,0,26.5785,0,0,0,0,0,0,32.4348,0,0.00102377,0.00102377,0.00102377
9,146.569,0,25.209,0,0,0,0,0,0,728.938,0,0.00114179,0.00114179,0.00114179
10,161.824,0,23.8276,0,0,0,0,0,0,596.508,0,0.00125704,0.00125704,0.00125704
11,177.234,0,22.4814,0,0,0,0,0,0,3175.08,0,0.00136952,0.00136952,0.00136952
12,192.779,0,21.0269,0,0,0,0,0,0,7780.36,0,0.00147923,0.00147923,0.00147923
13,208.314,0,19.8474,0,0,0,0,0,0,32011.4,0,0.00158616,0.00158616,0.00158616
14,223.621,0,18.9614,0,0,0,0,0,0,3931.14,0,0.00169032,0.00169032,0.00169032
15,239.032,0,18.0426,0,0,0,0,0,0,830.211,0,0.0017228,0.0017228,0.0017228
16,254.449,0,17.1662,0,0,0,0,0,0,146.462,0,0.001703,0.001703,0.001703
17,269.8,0,16.2677,0,0,0,0,0,0,14.2372,0,0.0016832,0.0016832,0.0016832
18,285.064,0,15.5293,0,0,0,0,0,0,18.3977,0,0.0016634,0.0016634,0.0016634
