epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3351,1.08398,2.71525,1.21907,0.00367,1,0.13986,0.06496,0.8758,2.79009,1.15302,6e-05,6e-05,6e-05
2,14.403,1.1271,2.69251,1.33398,0.00367,1,0.57514,0.414,0.77753,2.69878,1.08809,0.000137228,0.000137228,0.000137228
3,16.1813,1.01398,1.93071,1.24467,0.00367,1,0.8345,0.60417,0.79102,2.45365,1.09275,0.000211288,0.000211288,0.000211288
4,18.3849,1.07993,1.52142,1.25869,1,0.35481,0.86494,0.5757,0.82956,2.26819,1.14344,0.00028218,0.00028218,0.00028218
5,21.0492,0.94225,1.27735,1.14974,0.90209,0.41909,0.90439,0.62768,0.81786,2.4913,1.10626,0.000349904,0.000349904,0.000349904
6,22.2432,1.06432,1.43246,1.17134,0.96818,0.69174,0.94151,0.60237,0.98808,2.10912,1.22418,0.00041446,0.00041446,0.00041446
7,23.3146,0.9519,1.23854,1.12436,0.96353,0.60072,0.95049,0.62102,1.11467,2.11662,1.43534,0.000475848,0.000475848,0.000475848
8,24.4173,0.91902,1.23021,1.18909,0.87167,0.6176,0.87468,0.58783,1.08365,2.19895,1.2981,0.000534068,0.000534068,0.000534068
9,25.4808,0.91888,1.13138,1.13404,1,0.55351,0.87292,0.60704,1.02936,2.12406,1.24482,0.00058912,0.00058912,0.00058912
10,26.5128,0.86615,1.22083,1.12553,0.89457,0.43182,0.71573,0.50417,1.08867,2.34621,1.33353,0.000641004,0.000641004,0.000641004
11,27.5452,0.94635,1.08457,1.14509,0.67005,0.72727,0.74625,0.43579,1.29384,2.20976,1.58975,0.00068972,0.00068972,0.00068972
12,28.6046,0.89348,1.07039,1.14679,0.29204,0.36364,0.22836,0.11313,1.63964,2.71879,2.19189,0.000735268,0.000735268,0.000735268
13,29.6235,0.84676,1.06295,1.10194,0.63791,0.43182,0.39491,0.14431,1.56682,2.71932,2.3097,0.000777648,0.000777648,0.000777648
14,30.6886,0.89863,1.02759,1.10055,0.8342,0.4575,0.5654,0.30179,1.26271,2.49231,1.97482,0.00081686,0.00081686,0.00081686
15,31.709,0.81726,1.0904,1.1302,0.83816,0.47099,0.67233,0.37293,1.30902,2.32723,1.8135,0.000852904,0.000852904,0.000852904
16,32.7581,0.88917,0.9331,1.1632,0.83057,0.66861,0.77005,0.39502,1.48635,1.85766,1.95956,0.00088578,0.00088578,0.00088578
17,33.8419,0.90895,0.95833,1.15352,0.86277,0.79545,0.85096,0.47219,1.51708,1.73929,1.76338,0.000915488,0.000915488,0.000915488
18,34.8413,0.84884,0.87178,1.08912,0.78393,0.70455,0.80666,0.43669,1.35523,1.77512,1.68015,0.000942028,0.000942028,0.000942028
19,35.8494,0.87908,0.92121,1.11572,0.72887,0.54999,0.71584,0.43321,1.43244,1.90243,1.90496,0.0009654,0.0009654,0.0009654
20,36.8522,0.8918,0.90159,1.08421,0.80184,0.64389,0.75189,0.46825,1.23849,2.03913,1.57289,0.000985604,0.000985604,0.000985604
21,37.8972,0.74415,0.78169,1.05622,0.75775,0.63989,0.77625,0.52633,1.09309,1.66413,1.33359,0.00100264,0.00100264,0.00100264
22,38.9376,0.74516,0.80619,1.04833,0.87164,0.77167,0.82937,0.53485,1.06068,1.6029,1.37662,0.00101651,0.00101651,0.00101651
23,39.9758,0.83485,1.15397,1.08534,0.77111,0.53614,0.62329,0.35461,1.41484,2.10917,1.60353,0.00102721,0.00102721,0.00102721
24,41.0731,0.78062,0.8508,1.03042,0.69907,0.56818,0.68776,0.39642,1.34691,1.78443,1.57596,0.00103474,0.00103474,0.00103474
25,42.0902,0.76708,0.81175,1.09052,0.78325,0.65707,0.7893,0.50219,1.14332,1.4128,1.39856,0.0010391,0.0010391,0.0010391
26,43.0971,0.81698,0.75437,1.05764,0.75725,0.75,0.7781,0.51174,1.2151,1.33954,1.48825,0.00101,0.00101,0.00101
27,44.1278,0.92558,0.82008,1.14963,0.73899,0.83656,0.84191,0.56178,1.15179,1.25102,1.47628,0.0009704,0.0009704,0.0009704
28,45.1206,0.77222,0.70422,1.00838,0.96936,0.71912,0.842,0.56827,1.12956,1.25235,1.46175,0.0009308,0.0009308,0.0009308
29,46.132,0.81691,0.72691,1.08048,0.94061,0.7201,0.84453,0.56428,1.15721,1.20481,1.4553,0.0008912,0.0008912,0.0008912
30,47.1704,0.78737,0.72429,1.07763,0.81997,0.82826,0.8635,0.59981,1.20832,1.28529,1.43393,0.0008516,0.0008516,0.0008516
31,48.295,0.78516,0.73195,1.04409,0.77049,0.79545,0.77944,0.56019,1.1553,1.24104,1.41339,0.000812,0.000812,0.000812
32,49.3216,0.80639,0.74965,1.09084,0.90059,0.77273,0.86133,0.62628,1.07519,1.13068,1.3421,0.0007724,0.0007724,0.0007724
33,50.3765,0.78923,0.74147,1.05557,0.88156,0.86364,0.85906,0.6332,1.02714,1.0176,1.29675,0.0007328,0.0007328,0.0007328
34,51.3884,0.78531,0.65642,1.01089,0.9061,0.84091,0.87121,0.62871,1.02366,1.05253,1.30417,0.0006932,0.0006932,0.0006932
35,52.4217,0.79166,0.64659,1.02227,0.88337,0.86079,0.8745,0.65102,1.02249,0.90835,1.33751,0.0006536,0.0006536,0.0006536
36,53.4371,0.8084,0.63738,1.06669,0.89889,0.84091,0.86303,0.65824,1.00401,0.87634,1.34017,0.000614,0.000614,0.000614
37,54.453,0.67773,0.58848,1.00583,0.89927,0.86364,0.88619,0.66197,1.02798,0.87039,1.34899,0.0005744,0.0005744,0.0005744
38,55.5541,0.7718,0.60917,1.05602,0.94655,0.86364,0.90995,0.66486,1.05184,0.80559,1.33007,0.0005348,0.0005348,0.0005348
39,56.5818,0.70146,0.65812,1.03026,0.93333,0.88636,0.90813,0.67278,1.00503,0.73907,1.30986,0.0004952,0.0004952,0.0004952
40,57.6939,0.7418,0.63718,1.04543,0.94307,0.90909,0.89973,0.6871,0.97137,0.73032,1.27029,0.0004556,0.0004556,0.0004556
41,62.6389,0.77457,0.9506,1.06676,0.95217,0.90504,0.90052,0.69046,0.99064,0.83355,1.28157,0.000416,0.000416,0.000416
42,63.6514,0.72578,0.75489,1.02508,0.97444,0.86642,0.88243,0.67703,0.95562,1.00587,1.27127,0.0003764,0.0003764,0.0003764
43,64.7014,0.71734,0.78183,1.0833,0.96948,0.88636,0.88718,0.68294,0.96348,0.92215,1.25893,0.0003368,0.0003368,0.0003368
44,65.7215,0.64483,0.7241,1.01585,0.97187,0.88636,0.9271,0.68975,0.9502,0.79545,1.23448,0.0002972,0.0002972,0.0002972
45,66.7075,0.66667,0.68467,0.96982,0.97207,0.88636,0.94688,0.69817,0.94135,0.74675,1.22634,0.0002576,0.0002576,0.0002576
46,67.8238,0.64078,0.68777,0.95115,0.95222,0.90602,0.96107,0.7237,0.89958,0.70344,1.20263,0.000218,0.000218,0.000218
47,68.8357,0.65079,0.67924,0.9538,0.94704,0.86364,0.959,0.72222,0.87757,0.66817,1.18923,0.0001784,0.0001784,0.0001784
48,69.8499,0.66835,0.65907,1.03027,0.93057,0.91395,0.96515,0.71966,0.89211,0.65491,1.18476,0.0001388,0.0001388,0.0001388
49,70.8752,0.6408,0.66803,0.91976,0.97614,0.92998,0.97032,0.7318,0.89561,0.63308,1.17763,9.92e-05,9.92e-05,9.92e-05
50,71.9065,0.69117,0.64326,1.00834,0.97655,0.94653,0.97013,0.72808,0.90039,0.62747,1.17537,5.96e-05,5.96e-05,5.96e-05
